Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-05,Fri,Matchweek 1,Away,W 2–0,Arsenal,Crystal Palace,Y,RW,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,48.0,2.0,0.0,3.0,0.3,0.3,0.0,3.0,1.0,25.0,35.0,71.4,1.0,1.0,3.0
2022-08-13,Sat,Matchweek 2,Home,W 4–2,Arsenal,Leicester City,Y,RW,83.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,1.0,0.0,1.0,0.0,0.0,0.3,5.0,1.0,28.0,34.0,82.4,1.0,0.0,1.0
2022-08-20,Sat,Matchweek 3,Away,W 3–0,Arsenal,Bournemouth,Y,RW,87.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,1.0,3.0,0.0,0.0,0.0,0.2,3.0,1.0,36.0,41.0,87.8,2.0,2.0,7.0
2022-08-27,Sat,Matchweek 4,Home,W 2–1,Arsenal,Fulham,Y,"RW,WB,RM",90.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,60.0,0.0,1.0,3.0,0.5,0.5,0.2,3.0,1.0,39.0,49.0,79.6,5.0,3.0,12.0
2022-08-31,Wed,Matchweek 5,Home,W 2–1,Arsenal,Aston Villa,Y,RW,87.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.5,0.5,0.3,5.0,1.0,28.0,34.0,82.4,2.0,5.0,5.0
2022-09-04,Sun,Matchweek 6,Away,L 1–3,Arsenal,Manchester Utd,Y,"RW,RM",90.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,45.0,2.0,0.0,0.0,0.4,0.4,0.0,3.0,0.0,24.0,34.0,70.6,3.0,1.0,2.0
2022-09-18,Sun,Matchweek 8,Away,W 3–0,Arsenal,Brentford,Y,RW,89.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,53.0,2.0,1.0,0.0,0.2,0.2,0.3,4.0,2.0,42.0,47.0,89.4,3.0,0.0,1.0
2022-10-01,Sat,Matchweek 9,Home,W 3–1,Arsenal,Tottenham,Y,RW,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,50.0,1.0,0.0,1.0,0.3,0.3,0.3,9.0,2.0,33.0,41.0,80.5,2.0,1.0,3.0
2022-10-09,Sun,Matchweek 10,Home,W 3–2,Arsenal,Liverpool,Y,"RW,RM",89.0,2.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,37.0,1.0,1.0,2.0,1.9,1.3,0.0,4.0,1.0,18.0,24.0,75.0,0.0,1.0,3.0
2022-10-16,Sun,Matchweek 11,Away,W 1–0,Arsenal,Leeds United,Y,RW,81.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,1.0,0.0,1.0,0.1,0.1,0.1,2.0,1.0,16.0,27.0,59.3,0.0,1.0,3.0
2022-10-23,Sun,Matchweek 13,Away,D 1–1,Arsenal,Southampton,Y,RW,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,43.0,2.0,2.0,1.0,0.1,0.1,0.0,2.0,0.0,23.0,33.0,69.7,0.0,1.0,3.0
2022-10-30,Sun,Matchweek 14,Home,W 5–0,Arsenal,Nott'ham Forest,Y,RW,26.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,1.0,0.2,0.2,0.2,5.0,1.0,15.0,20.0,75.0,2.0,0.0,0.0
2022-11-06,Sun,Matchweek 15,Away,W 1–0,Arsenal,Chelsea,Y,RW,90.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,52.0,2.0,0.0,0.0,0.1,0.1,0.9,4.0,1.0,34.0,47.0,72.3,3.0,0.0,2.0
2022-11-12,Sat,Matchweek 16,Away,W 2–0,Arsenal,Wolves,Y,RW,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,1.0,0.0,0.0,0.3,5.0,0.0,40.0,46.0,87.0,3.0,4.0,10.0
