Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-05,Fri,Matchweek 1,Away,W 2–0,Arsenal,Crystal Palace,Y,FW,82.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,1.0,1.0,0.0,0.1,0.1,0.0,4.0,0.0,20.0,28.0,71.4,3.0,6.0,6.0
2022-08-13,Sat,Matchweek 2,Home,W 4–2,Arsenal,Leicester City,Y,FW,83.0,2.0,2.0,0.0,0.0,7.0,3.0,0.0,0.0,47.0,0.0,0.0,1.0,1.8,1.8,0.4,5.0,1.0,22.0,29.0,75.9,2.0,3.0,4.0
2022-08-20,Sat,Matchweek 3,Away,W 3–0,Arsenal,Bournemouth,Y,"FW,RW",90.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,40.0,2.0,1.0,2.0,0.1,0.1,0.3,4.0,0.0,19.0,21.0,90.5,1.0,2.0,6.0
2022-08-27,Sat,Matchweek 4,Home,W 2–1,Arsenal,Fulham,Y,FW,88.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,50.0,0.0,1.0,2.0,0.3,0.3,0.2,4.0,0.0,24.0,35.0,68.6,0.0,1.0,4.0
2022-08-31,Wed,Matchweek 5,Home,W 2–1,Arsenal,Aston Villa,Y,FW,87.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,35.0,0.0,0.0,0.0,0.9,0.9,0.1,4.0,0.0,14.0,20.0,70.0,0.0,1.0,7.0
2022-09-04,Sun,Matchweek 6,Away,L 1–3,Arsenal,Manchester Utd,Y,FW,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,55.0,2.0,0.0,0.0,0.1,0.1,0.6,5.0,0.0,29.0,34.0,85.3,4.0,3.0,9.0
2022-09-18,Sun,Matchweek 8,Away,W 3–0,Arsenal,Brentford,Y,FW,90.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,50.0,2.0,0.0,0.0,0.8,0.8,0.0,3.0,0.0,34.0,38.0,89.5,1.0,2.0,2.0
2022-10-01,Sat,Matchweek 9,Home,W 3–1,Arsenal,Tottenham,Y,FW,79.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,39.0,2.0,0.0,1.0,1.4,1.4,0.1,1.0,0.0,18.0,21.0,85.7,2.0,1.0,4.0
2022-10-09,Sun,Matchweek 10,Home,W 3–2,Arsenal,Liverpool,Y,FW,89.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,35.0,1.0,0.0,2.0,0.3,0.3,0.0,5.0,2.0,19.0,21.0,90.5,1.0,3.0,4.0
2022-10-16,Sun,Matchweek 11,Away,W 1–0,Arsenal,Leeds United,Y,FW,81.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,1.0,0.0,2.0,0.1,0.1,0.1,3.0,0.0,20.0,24.0,83.3,2.0,1.0,3.0
2022-10-23,Sun,Matchweek 13,Away,D 1–1,Arsenal,Southampton,Y,FW,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,40.0,2.0,0.0,1.0,0.3,0.3,0.0,3.0,0.0,23.0,28.0,82.1,2.0,0.0,3.0
2022-10-30,Sun,Matchweek 14,Home,W 5–0,Arsenal,Nott'ham Forest,Y,FW,90.0,0.0,2.0,0.0,0.0,7.0,3.0,0.0,0.0,63.0,3.0,1.0,1.0,0.7,0.7,0.6,6.0,2.0,36.0,45.0,80.0,1.0,0.0,3.0
2022-11-06,Sun,Matchweek 15,Away,W 1–0,Arsenal,Chelsea,Y,FW,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,52.0,2.0,2.0,1.0,0.5,0.5,0.2,7.0,1.0,18.0,27.0,66.7,2.0,3.0,9.0
2022-11-12,Sat,Matchweek 16,Away,W 2–0,Arsenal,Wolves,Y,FW,90.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,48.0,1.0,2.0,2.0,0.4,0.4,0.0,3.0,1.0,29.0,31.0,93.5,4.0,1.0,2.0
