Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-05,Fri,Matchweek 1,Away,W 2–0,Arsenal,Crystal Palace,Y,LW,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,35.0,0.0,0.0,1.0,0.4,0.4,0.1,1.0,0.0,24.0,28.0,85.7,1.0,3.0,3.0
2022-08-13,Sat,Matchweek 2,Home,W 4–2,Arsenal,Leicester City,Y,"LW,RW",90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,0.0,1.0,2.0,0.1,0.1,0.5,6.0,1.0,24.0,33.0,72.7,2.0,3.0,5.0
2022-08-20,Sat,Matchweek 3,Away,W 3–0,Arsenal,Bournemouth,Y,LW,73.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,34.0,1.0,0.0,1.0,0.4,0.4,0.0,4.0,2.0,15.0,21.0,71.4,1.0,1.0,3.0
2022-08-27,Sat,Matchweek 4,Home,W 2–1,Arsenal,Fulham,Y,"LW,WB,LM",90.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,63.0,4.0,0.0,3.0,0.6,0.6,0.4,8.0,1.0,29.0,42.0,69.0,4.0,1.0,3.0
2022-08-31,Wed,Matchweek 5,Home,W 2–1,Arsenal,Aston Villa,Y,"LW,AM",90.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,55.0,1.0,1.0,0.0,0.2,0.2,0.4,5.0,1.0,31.0,40.0,77.5,6.0,3.0,5.0
2022-09-04,Sun,Matchweek 6,Away,L 1–3,Arsenal,Manchester Utd,Y,"LW,LB",90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,0.0,0.0,1.0,0.1,0.1,0.1,4.0,1.0,31.0,43.0,72.1,3.0,1.0,2.0
2022-09-18,Sun,Matchweek 8,Away,W 3–0,Arsenal,Brentford,Y,LW,77.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.0,0.0,1.0,0.0,0.2,0.2,0.2,5.0,0.0,25.0,31.0,80.6,1.0,4.0,5.0
2022-10-01,Sat,Matchweek 9,Home,W 3–1,Arsenal,Tottenham,Y,LW,90.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,62.0,2.0,0.0,1.0,0.1,0.1,0.2,4.0,0.0,37.0,48.0,77.1,6.0,4.0,7.0
2022-10-09,Sun,Matchweek 10,Home,W 3–2,Arsenal,Liverpool,Y,"LW,LM",90.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,51.0,0.0,0.0,0.0,0.5,0.5,1.1,3.0,1.0,24.0,33.0,72.7,2.0,0.0,4.0
2022-10-16,Sun,Matchweek 11,Away,W 1–0,Arsenal,Leeds United,Y,"LW,AM",90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,1.0,1.0,1.0,0.1,0.1,0.0,2.0,0.0,24.0,34.0,70.6,4.0,3.0,8.0
2022-10-23,Sun,Matchweek 13,Away,D 1–1,Arsenal,Southampton,Y,LW,70.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,21.0,61.9,1.0,2.0,3.0
2022-10-30,Sun,Matchweek 14,Home,W 5–0,Arsenal,Nott'ham Forest,Y,LW,62.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,34.0,0.0,2.0,1.0,0.3,0.3,0.0,5.0,1.0,21.0,25.0,84.0,7.0,0.0,0.0
2022-11-06,Sun,Matchweek 15,Away,W 1–0,Arsenal,Chelsea,Y,LW,89.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.2,0.2,0.3,2.0,0.0,22.0,29.0,75.9,6.0,1.0,2.0
2022-11-12,Sat,Matchweek 16,Away,W 2–0,Arsenal,Wolves,Y,LW,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,1.0,1.0,2.0,0.1,0.1,0.0,4.0,1.0,18.0,26.0,69.2,1.0,2.0,4.0
