Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-06,Sat,Matchweek 1,Away,L 0–2,Aston Villa,Bournemouth,N,FW,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0
2022-08-13,Sat,Matchweek 2,Home,W 2–1,Aston Villa,Everton,Y,FW,90.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,35.0,1.0,0.0,0.0,0.6,0.6,1.1,3.0,2.0,20.0,24.0,83.3,0.0,1.0,3.0
2022-08-20,Sat,Matchweek 3,Away,L 1–3,Aston Villa,Crystal Palace,Y,"FW,RW",90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,34.0,2.0,0.0,1.0,0.3,0.3,0.0,3.0,0.0,21.0,27.0,77.8,1.0,0.0,0.0
2022-08-28,Sun,Matchweek 4,Home,L 0–1,Aston Villa,West Ham,Y,FW,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,21.0,0.0,2.0,0.0,0.2,0.2,0.0,1.0,0.0,16.0,18.0,88.9,1.0,0.0,0.0
2022-08-31,Wed,Matchweek 5,Away,L 1–2,Aston Villa,Arsenal,Y,FW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,88.2,0.0,0.0,0.0
2022-09-03,Sat,Matchweek 6,Home,D 1–1,Aston Villa,Manchester City,Y,FW,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,8.0,14.0,57.1,0.0,0.0,1.0
2022-09-16,Fri,Matchweek 8,Home,W 1–0,Aston Villa,Southampton,Y,"FW,AM",90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,3.0,1.0,0.0,0.1,0.1,0.1,5.0,1.0,14.0,23.0,60.9,2.0,0.0,1.0
2022-10-02,Sun,Matchweek 9,Away,D 0–0,Aston Villa,Leeds United,Y,FW,90.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,26.0,0.0,0.0,0.0,1.2,1.2,0.0,4.0,0.0,9.0,17.0,52.9,0.0,2.0,4.0
2022-10-10,Mon,Matchweek 10,Away,D 1–1,Aston Villa,Nott'ham Forest,Y,"FW,LW",90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.0,0.0,0.0,2.0,0.1,0.1,0.2,1.0,0.0,11.0,19.0,57.9,0.0,0.0,2.0
2022-10-16,Sun,Matchweek 11,Home,L 0–2,Aston Villa,Chelsea,Y,"LW,FW",90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,46.0,2.0,1.0,1.0,0.2,0.2,0.1,2.0,0.0,19.0,28.0,67.9,4.0,0.0,1.0
2022-10-20,Thu,Matchweek 12,Away,L 0–3,Aston Villa,Fulham,Y,"AM,LW",90.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,32.0,0.0,0.0,1.0,0.5,0.5,0.1,2.0,0.0,16.0,22.0,72.7,1.0,1.0,2.0
2022-10-23,Sun,Matchweek 13,Home,W 4–0,Aston Villa,Brentford,Y,RW,80.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,34.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,2.0,15.0,21.0,71.4,1.0,0.0,1.0
2022-10-29,Sat,Matchweek 14,Away,L 0–4,Aston Villa,Newcastle Utd,Y,RW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,1.0,2.0,0.0,0.0,0.1,0.0,0.0,16.0,26.0,61.5,1.0,1.0,3.0
2022-11-06,Sun,Matchweek 15,Home,W 3–1,Aston Villa,Manchester Utd,Y,FW,77.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,1.0,0.0,0.0,0.2,3.0,2.0,15.0,20.0,75.0,2.0,0.0,0.0
