Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-06,Sat,Matchweek 1,Home,W 2–0,Bournemouth,Aston Villa,Y,FW,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,24.0,66.7,2.0,0.0,2.0
2022-08-13,Sat,Matchweek 2,Away,L 0–4,Bournemouth,Manchester City,Y,FW,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,25.0,60.0,1.0,0.0,0.0
2022-08-20,Sat,Matchweek 3,Home,L 0–3,Bournemouth,Arsenal,Y,FW,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,14.0,26.0,53.8,2.0,0.0,1.0
2022-08-27,Sat,Matchweek 4,Away,L 0–9,Bournemouth,Liverpool,Y,FW,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,40.0,1.0,0.0,1.0,0.2,0.2,0.0,3.0,0.0,18.0,31.0,58.1,2.0,1.0,2.0
2022-08-31,Wed,Matchweek 5,Home,D 0–0,Bournemouth,Wolves,N,FW,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,28.6,0.0,0.0,0.0
2022-09-03,Sat,Matchweek 6,Away,W 3–2,Bournemouth,Nott'ham Forest,N,AM,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0
2022-09-17,Sat,Matchweek 8,Away,D 1–1,Bournemouth,Newcastle Utd,N,FW,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
2022-10-01,Sat,Matchweek 9,Home,D 0–0,Bournemouth,Brentford,Y,FW,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,14.0,21.0,66.7,0.0,0.0,0.0
2022-10-15,Sat,Matchweek 11,Away,D 2–2,Bournemouth,Fulham,N,FW,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,0.0,0.0
2022-10-19,Wed,Matchweek 12,Home,L 0–1,Bournemouth,Southampton,N,FW,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-10-24,Mon,Matchweek 13,Away,L 0–2,Bournemouth,West Ham,N,"FW,AM",46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,9.0,11.0,81.8,0.0,0.0,0.0
2022-10-29,Sat,Matchweek 14,Home,L 2–3,Bournemouth,Tottenham,Y,FW,90.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,52.0,3.0,0.0,2.0,0.4,0.4,0.0,1.0,1.0,17.0,30.0,56.7,3.0,0.0,2.0
2022-11-05,Sat,Matchweek 15,Away,L 3–4,Bournemouth,Leeds United,Y,FW,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,15.0,21.0,71.4,0.0,0.0,0.0
2022-11-12,Sat,Matchweek 16,Home,W 3–0,Bournemouth,Everton,Y,FW,67.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.8,0.8,0.0,3.0,0.0,13.0,25.0,52.0,3.0,0.0,0.0
