Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-07,Sun,Matchweek 1,Away,D 2–2,Brentford,Leicester City,Y,"RW,RB",90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,36.0,1.0,2.0,1.0,0.2,0.2,0.1,1.0,0.0,21.0,28.0,75.0,0.0,2.0,3.0
2022-08-13,Sat,Matchweek 2,Home,W 4–0,Brentford,Manchester Utd,Y,FW,72.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,9.0,15.0,60.0,0.0,0.0,0.0
2022-08-20,Sat,Matchweek 3,Away,L 2–3,Brentford,Fulham,Y,"RW,RM",90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,35.0,1.0,0.0,0.0,0.2,0.2,0.3,5.0,1.0,18.0,30.0,60.0,5.0,2.0,2.0
2022-08-27,Sat,Matchweek 4,Home,D 1–1,Brentford,Everton,Y,"RW,AM",77.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,36.0,0.0,0.0,1.0,0.3,0.3,0.0,3.0,0.0,21.0,30.0,70.0,2.0,0.0,0.0
2022-08-30,Tue,Matchweek 5,Away,D 1–1,Brentford,Crystal Palace,Y,RW,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,22.0,59.1,1.0,0.0,1.0
2022-09-03,Sat,Matchweek 6,Home,W 5–2,Brentford,Leeds United,Y,"RW,FW",82.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.2,0.2,0.2,4.0,1.0,10.0,16.0,62.5,2.0,2.0,2.0
2022-09-18,Sun,Matchweek 8,Home,L 0–3,Brentford,Arsenal,Y,FW,75.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,24.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,10.0,15.0,66.7,0.0,0.0,1.0
2022-10-01,Sat,Matchweek 9,Away,D 0–0,Brentford,Bournemouth,Y,RW,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,1.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,20.0,27.0,74.1,2.0,0.0,0.0
2022-10-08,Sat,Matchweek 10,Away,L 1–5,Brentford,Newcastle Utd,Y,FW,61.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,6.0,10.0,60.0,0.0,1.0,3.0
2022-10-14,Fri,Matchweek 11,Home,W 2–0,Brentford,Brighton,Y,"RW,FW",79.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.1,0.1,0.1,2.0,1.0,11.0,18.0,61.1,3.0,2.0,6.0
2022-10-19,Wed,Matchweek 12,Home,D 0–0,Brentford,Chelsea,Y,FW,72.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,30.0,0.0,0.0,0.0,0.3,0.3,0.2,2.0,0.0,16.0,28.0,57.1,1.0,1.0,1.0
2022-10-23,Sun,Matchweek 13,Away,L 0–4,Brentford,Aston Villa,Y,FW,60.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,21.0,0.0,0.0,0.0,0.4,0.4,0.1,5.0,0.0,13.0,15.0,86.7,1.0,1.0,1.0
2022-10-29,Sat,Matchweek 14,Home,D 1–1,Brentford,Wolves,Y,RW,82.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,40.0,1.0,1.0,1.0,0.3,0.3,0.3,4.0,1.0,24.0,33.0,72.7,0.0,2.0,4.0
2022-11-05,Sat,Matchweek 15,Away,D 2–2,Brentford,Nott'ham Forest,Y,RW,80.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,43.0,2.0,0.0,3.0,0.8,0.0,0.2,4.0,1.0,20.0,31.0,64.5,2.0,2.0,3.0
2022-11-12,Sat,Matchweek 16,Away,W 2–1,Brentford,Manchester City,Y,FW,73.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,23.0,1.0,0.0,0.0,0.1,0.1,0.1,2.0,0.0,8.0,12.0,66.7,1.0,0.0,1.0
