Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-07,Sun,Matchweek 1,Away,D 2–2,Brentford,Leicester City,Y,FW,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,41.0,0.0,1.0,0.0,0.4,0.4,0.1,2.0,0.0,17.0,28.0,60.7,1.0,0.0,1.0
2022-08-13,Sat,Matchweek 2,Home,W 4–0,Brentford,Manchester Utd,Y,FW,90.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,16.0,30.0,53.3,4.0,0.0,0.0
2022-08-20,Sat,Matchweek 3,Away,L 2–3,Brentford,Fulham,Y,FW,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,30.0,1.0,1.0,2.0,1.0,1.0,0.1,2.0,0.0,14.0,17.0,82.4,1.0,2.0,3.0
2022-08-27,Sat,Matchweek 4,Home,D 1–1,Brentford,Everton,Y,FW,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.3,0.3,0.1,3.0,0.0,13.0,17.0,76.5,2.0,0.0,1.0
2022-08-30,Tue,Matchweek 5,Away,D 1–1,Brentford,Crystal Palace,Y*,FW,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,42.0,2.0,1.0,0.0,0.2,0.2,0.6,3.0,0.0,16.0,25.0,64.0,4.0,0.0,4.0
2022-09-03,Sat,Matchweek 6,Home,W 5–2,Brentford,Leeds United,Y,FW,90.0,3.0,0.0,1.0,1.0,5.0,3.0,0.0,0.0,27.0,2.0,0.0,1.0,1.1,0.3,0.0,5.0,2.0,10.0,13.0,76.9,1.0,1.0,1.0
2022-09-18,Sun,Matchweek 8,Home,L 0–3,Brentford,Arsenal,Y,FW,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,3.0,1.0,0.0,0.1,0.1,0.0,1.0,0.0,9.0,17.0,52.9,0.0,1.0,1.0
2022-10-01,Sat,Matchweek 9,Away,D 0–0,Brentford,Bournemouth,Y,FW,90.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,33.0,0.0,0.0,1.0,0.6,0.6,0.0,1.0,0.0,15.0,20.0,75.0,2.0,0.0,2.0
2022-10-08,Sat,Matchweek 10,Away,L 1–5,Brentford,Newcastle Utd,Y*,FW,90.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,42.0,0.0,0.0,3.0,0.8,0.0,0.0,3.0,0.0,19.0,25.0,76.0,0.0,0.0,0.0
2022-10-14,Fri,Matchweek 11,Home,W 2–0,Brentford,Brighton,Y*,FW,90.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,44.0,0.0,0.0,0.0,1.0,0.2,0.1,1.0,1.0,13.0,28.0,46.4,0.0,0.0,1.0
2022-10-19,Wed,Matchweek 12,Home,D 0–0,Brentford,Chelsea,Y*,FW,90.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,39.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,14.0,31.0,45.2,1.0,0.0,4.0
2022-10-23,Sun,Matchweek 13,Away,L 0–4,Brentford,Aston Villa,Y*,FW,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,2.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,19.0,30.0,63.3,3.0,1.0,1.0
2022-10-29,Sat,Matchweek 14,Home,D 1–1,Brentford,Wolves,Y*,FW,90.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,30.0,1.0,0.0,2.0,0.6,0.6,0.0,0.0,0.0,13.0,17.0,76.5,1.0,0.0,0.0
2022-11-12,Sat,Matchweek 16,Away,W 2–1,Brentford,Manchester City,Y*,FW,90.0,2.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,52.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,29.0,55.2,2.0,0.0,1.0
