Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-07,Sun,Matchweek 1,Away,D 2–2,Brentford,Leicester City,Y,"LW,LM",82.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,1.0,1.0,0.0,0.1,0.1,0.0,2.0,1.0,10.0,15.0,66.7,0.0,0.0,1.0
2022-08-13,Sat,Matchweek 2,Home,W 4–0,Brentford,Manchester Utd,N,FW,18.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,0.0,0.0
2022-08-20,Sat,Matchweek 3,Away,L 2–3,Brentford,Fulham,Y,LW,82.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,27.0,0.0,0.0,1.0,0.1,0.1,0.9,1.0,0.0,13.0,18.0,72.2,1.0,0.0,1.0
2022-08-27,Sat,Matchweek 4,Home,D 1–1,Brentford,Everton,Y,LW,67.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,13.0,1.0,0.0,1.0,0.4,0.4,0.0,1.0,0.0,2.0,5.0,40.0,0.0,0.0,1.0
2022-08-30,Tue,Matchweek 5,Away,D 1–1,Brentford,Crystal Palace,N,RW,12.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,5.0,6.0,83.3,1.0,0.0,0.0
2022-09-03,Sat,Matchweek 6,Home,W 5–2,Brentford,Leeds United,N,FW,8.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,0.7,0.7,0.0,2.0,1.0,3.0,4.0,75.0,0.0,0.0,0.0
2022-09-18,Sun,Matchweek 8,Home,L 0–3,Brentford,Arsenal,N,FW,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0
2022-10-01,Sat,Matchweek 9,Away,D 0–0,Brentford,Bournemouth,N,"LW,RW",30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,50.0,0.0,0.0,0.0
2022-10-08,Sat,Matchweek 10,Away,L 1–5,Brentford,Newcastle Utd,N,"RW,FW",29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,4.0,7.0,57.1,1.0,0.0,1.0
2022-10-14,Fri,Matchweek 11,Home,W 2–0,Brentford,Brighton,Y,LW,70.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,12.0,66.7,0.0,4.0,6.0
2022-10-19,Wed,Matchweek 12,Home,D 0–0,Brentford,Chelsea,N,FW,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0
2022-10-23,Sun,Matchweek 13,Away,L 0–4,Brentford,Aston Villa,N,AM,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,18.0,3.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,8.0,10.0,80.0,2.0,0.0,2.0
2022-10-29,Sat,Matchweek 14,Home,D 1–1,Brentford,Wolves,Y,LW,74.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,20.0,65.0,0.0,1.0,1.0
2022-11-05,Sat,Matchweek 15,Away,D 2–2,Brentford,Nott'ham Forest,Y,FW,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,26.0,1.0,0.0,0.0,0.5,0.5,0.1,2.0,1.0,18.0,19.0,94.7,1.0,0.0,2.0
2022-11-12,Sat,Matchweek 16,Away,W 2–1,Brentford,Manchester City,N,FW,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,62.5,1.0,2.0,2.0
