Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-07,Sun,Matchweek 1,Away,W 2–1,Brighton,Manchester Utd,Y,FW,89.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,43.0,3.0,1.0,1.0,0.4,0.4,0.6,2.0,1.0,20.0,24.0,83.3,0.0,4.0,6.0
2022-08-13,Sat,Matchweek 2,Home,D 0–0,Brighton,Newcastle Utd,Y,FW,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,8.0,9.0,88.9,1.0,0.0,0.0
2022-08-21,Sun,Matchweek 3,Away,W 2–0,Brighton,West Ham,Y,FW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,1.0,24.0,28.0,85.7,1.0,1.0,1.0
2022-08-27,Sat,Matchweek 4,Home,W 1–0,Brighton,Leeds United,Y,"FW,LW",87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,1.0,0.0,0.0,0.3,2.0,0.0,12.0,16.0,75.0,3.0,0.0,0.0
2022-08-30,Tue,Matchweek 5,Away,L 1–2,Brighton,Fulham,N,FW,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.3,0.3,0.2,1.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0
2022-09-04,Sun,Matchweek 6,Home,W 5–2,Brighton,Leicester City,Y,FW,90.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,25.0,0.0,0.0,2.0,0.4,0.4,0.0,4.0,1.0,10.0,13.0,76.9,2.0,0.0,1.0
2022-10-01,Sat,Matchweek 9,Away,D 3–3,Brighton,Liverpool,Y,FW,90.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,26.0,1.0,0.0,0.0,0.5,0.5,0.5,3.0,3.0,11.0,13.0,84.6,2.0,0.0,1.0
2022-10-08,Sat,Matchweek 10,Home,L 0–1,Brighton,Tottenham,Y,FW,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,34.0,1.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,18.0,23.0,78.3,1.0,1.0,1.0
2022-10-14,Fri,Matchweek 11,Away,L 0–2,Brighton,Brentford,Y,FW,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,37.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,19.0,25.0,76.0,0.0,0.0,2.0
2022-10-18,Tue,Matchweek 12,Home,D 0–0,Brighton,Nott'ham Forest,Y,FW,90.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,25.0,0.0,0.0,1.0,0.5,0.5,0.2,3.0,0.0,11.0,14.0,78.6,0.0,0.0,1.0
2022-10-22,Sat,Matchweek 13,Away,L 1–3,Brighton,Manchester City,Y,FW,78.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,2.0,1.0,0.2,0.2,0.0,2.0,0.0,10.0,11.0,90.9,1.0,0.0,1.0
2022-11-05,Sat,Matchweek 15,Away,W 3–2,Brighton,Wolves,N,FW,26.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,2.0
2022-11-13,Sun,Matchweek 16,Home,L 1–2,Brighton,Aston Villa,Y,FW,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,0.0,0.0,0.0
