Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-05,Fri,Matchweek 1,Home,L 0–2,Crystal Palace,Arsenal,Y,FW,57.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,3.0,6.0,50.0,0.0,1.0,2.0
2022-08-15,Mon,Matchweek 2,Away,D 1–1,Crystal Palace,Liverpool,N,RM,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,77.8,0.0,1.0,1.0
2022-08-20,Sat,Matchweek 3,Home,W 3–1,Crystal Palace,Aston Villa,Y,FW,69.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,28.0,1.0,0.0,0.0,0.2,0.2,0.1,2.0,0.0,16.0,18.0,88.9,2.0,0.0,0.0
2022-08-27,Sat,Matchweek 4,Away,L 2–4,Crystal Palace,Manchester City,Y,FW,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,20.0,85.0,4.0,1.0,3.0
2022-08-30,Tue,Matchweek 5,Home,D 1–1,Crystal Palace,Brentford,N,FW,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,13.0,92.3,2.0,0.0,0.0
2022-09-03,Sat,Matchweek 6,Away,D 0–0,Crystal Palace,Newcastle Utd,N,FW,28.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,11.0,0.0,0.0,1.0,0.2,0.2,0.2,4.0,0.0,5.0,7.0,71.4,0.0,0.0,0.0
2022-10-01,Sat,Matchweek 9,Home,L 1–2,Crystal Palace,Chelsea,Y,FW,83.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,26.0,2.0,0.0,1.0,0.2,0.2,0.0,2.0,1.0,13.0,18.0,72.2,0.0,0.0,1.0
2022-10-09,Sun,Matchweek 10,Home,W 2–1,Crystal Palace,Leeds United,Y,FW,85.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,32.0,1.0,0.0,2.0,0.3,0.3,0.0,2.0,0.0,17.0,20.0,85.0,2.0,0.0,0.0
2022-10-15,Sat,Matchweek 11,Away,D 0–0,Crystal Palace,Leicester City,Y,FW,64.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0,1.0,0.0,1.0,0.1,0.1,0.0,2.0,0.0,10.0,17.0,58.8,1.0,1.0,3.0
2022-10-18,Tue,Matchweek 12,Home,W 2–1,Crystal Palace,Wolves,Y,FW,80.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,4.0,2.0,0.0,0.1,0.1,0.4,3.0,1.0,18.0,22.0,81.8,1.0,0.0,2.0
2022-10-22,Sat,Matchweek 13,Away,L 0–3,Crystal Palace,Everton,Y,FW,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,10.0,17.0,58.8,2.0,1.0,1.0
2022-10-29,Sat,Matchweek 14,Home,W 1–0,Crystal Palace,Southampton,Y,FW,74.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,26.0,1.0,0.0,1.0,0.3,0.3,0.1,4.0,0.0,12.0,16.0,75.0,0.0,1.0,2.0
2022-11-12,Sat,Matchweek 16,Away,L 0–1,Crystal Palace,Nott'ham Forest,N,CM,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
