Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-06,Sat,Matchweek 1,Home,L 0–1,Everton,Chelsea,Y,FW,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,10.0,17.0,58.8,1.0,2.0,4.0
2022-08-13,Sat,Matchweek 2,Away,L 1–2,Everton,Aston Villa,Y,"FW,LW",90.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,31.0,1.0,0.0,2.0,0.2,0.2,0.0,2.0,0.0,10.0,18.0,55.6,1.0,1.0,1.0
2022-08-20,Sat,Matchweek 3,Home,D 1–1,Everton,Nott'ham Forest,Y,"RW,FW",90.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,46.0,3.0,0.0,1.0,0.6,0.6,0.2,5.0,0.0,21.0,25.0,84.0,2.0,0.0,8.0
2022-08-27,Sat,Matchweek 4,Away,D 1–1,Everton,Brentford,Y,RW,90.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,44.0,5.0,0.0,2.0,0.3,0.3,0.0,3.0,0.0,23.0,28.0,82.1,2.0,0.0,2.0
2022-08-30,Tue,Matchweek 5,Away,D 1–1,Everton,Leeds United,Y,LW,90.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,44.0,1.0,0.0,1.0,0.3,0.3,0.2,4.0,0.0,18.0,24.0,75.0,1.0,0.0,7.0
2022-09-03,Sat,Matchweek 6,Home,D 0–0,Everton,Liverpool,Y,LW,81.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,29.0,0.0,0.0,2.0,0.0,0.0,0.1,2.0,0.0,15.0,22.0,68.2,2.0,1.0,3.0
2022-09-18,Sun,Matchweek 8,Home,W 1–0,Everton,West Ham,Y,LW,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,75.0,2.0,0.0,2.0
2022-10-01,Sat,Matchweek 9,Away,W 2–1,Everton,Southampton,N,RW,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0
2022-10-09,Sun,Matchweek 10,Home,L 1–2,Everton,Manchester Utd,Y,RW,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,72.7,1.0,2.0,3.0
2022-10-19,Wed,Matchweek 12,Away,L 0–1,Everton,Newcastle Utd,Y,RW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,73.9,2.0,2.0,4.0
2022-10-22,Sat,Matchweek 13,Home,W 3–0,Everton,Crystal Palace,Y,RW,85.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,38.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19.0,26.0,73.1,1.0,0.0,1.0
2022-10-29,Sat,Matchweek 14,Away,D 0–0,Everton,Fulham,Y,RW,85.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,1.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,11.0,19.0,57.9,0.0,0.0,1.0
2022-11-05,Sat,Matchweek 15,Home,L 0–2,Everton,Leicester City,N,LW,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,4.0,8.0,50.0,0.0,0.0,0.0
2022-11-12,Sat,Matchweek 16,Away,L 0–3,Everton,Bournemouth,N,RW,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,9.0,10.0,90.0,0.0,0.0,0.0
