Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-06,Sat,Matchweek 1,Home,D 2–2,Fulham,Liverpool,Y,FW,90.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,46.0,1.0,1.0,1.0,0.9,0.2,0.1,4.0,1.0,10.0,28.0,35.7,1.0,2.0,2.0
2022-08-13,Sat,Matchweek 2,Away,D 0–0,Fulham,Wolves,Y,FW,90.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,32.0,2.0,0.0,0.0,1.0,0.2,0.4,1.0,0.0,13.0,19.0,68.4,1.0,0.0,0.0
2022-08-20,Sat,Matchweek 3,Home,W 3–2,Fulham,Brentford,Y,FW,89.0,1.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,40.0,1.0,0.0,1.0,1.3,1.3,0.0,5.0,1.0,14.0,21.0,66.7,0.0,0.0,0.0
2022-08-27,Sat,Matchweek 4,Away,L 1–2,Fulham,Arsenal,Y,FW,90.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,35.0,1.0,0.0,2.0,0.2,0.2,0.1,3.0,0.0,8.0,18.0,44.4,2.0,1.0,3.0
2022-08-30,Tue,Matchweek 5,Home,W 2–1,Fulham,Brighton,Y,FW,90.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,36.0,2.0,0.0,2.0,0.4,0.4,0.1,4.0,0.0,11.0,20.0,55.0,2.0,5.0,8.0
2022-09-03,Sat,Matchweek 6,Away,L 1–2,Fulham,Tottenham,Y,FW,90.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,22.0,0.0,0.0,0.0,0.5,0.5,0.1,3.0,1.0,6.0,12.0,50.0,0.0,2.0,2.0
2022-09-16,Fri,Matchweek 8,Away,W 3–2,Fulham,Nott'ham Forest,Y,FW,89.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,39.0,1.0,0.0,1.0,0.1,0.1,0.0,2.0,1.0,15.0,26.0,57.7,3.0,1.0,4.0
2022-10-01,Sat,Matchweek 9,Home,L 1–4,Fulham,Newcastle Utd,Y,FW,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,50.0,1.0,0.0,0.0
2022-10-15,Sat,Matchweek 11,Home,D 2–2,Fulham,Bournemouth,Y,FW,90.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,29.0,0.0,0.0,1.0,1.2,0.4,0.1,6.0,2.0,8.0,19.0,42.1,0.0,1.0,2.0
2022-10-20,Thu,Matchweek 12,Home,W 3–0,Fulham,Aston Villa,Y,FW,84.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,1.3,0.6,0.1,4.0,1.0,13.0,18.0,72.2,2.0,1.0,3.0
2022-10-23,Sun,Matchweek 13,Away,W 3–2,Fulham,Leeds United,Y,FW,89.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,0.3,0.3,0.3,1.0,0.0,13.0,21.0,61.9,1.0,0.0,0.0
2022-10-29,Sat,Matchweek 14,Home,D 0–0,Fulham,Everton,Y,FW,90.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,47.0,0.0,0.0,0.0,0.5,0.5,0.1,4.0,0.0,21.0,30.0,70.0,5.0,0.0,1.0
