Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-06,Sat,Matchweek 1,Home,D 2–2,Fulham,Liverpool,Y,RW,65.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,11.0,15.0,73.3,0.0,1.0,2.0
2022-08-13,Sat,Matchweek 2,Away,D 0–0,Fulham,Wolves,Y,LW,82.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,35.0,2.0,0.0,3.0,0.1,0.1,0.0,1.0,0.0,13.0,22.0,59.1,1.0,2.0,3.0
2022-08-27,Sat,Matchweek 4,Away,L 1–2,Fulham,Arsenal,Y,LW,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,2.0,0.0,0.0,0.2,2.0,0.0,7.0,11.0,63.6,0.0,0.0,1.0
2022-08-30,Tue,Matchweek 5,Home,W 2–1,Fulham,Brighton,Y,LW,90.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,2.0,0.0,2.0,0.0,0.0,0.4,2.0,1.0,20.0,25.0,80.0,3.0,2.0,6.0
2022-09-03,Sat,Matchweek 6,Away,L 1–2,Fulham,Tottenham,Y,LW,59.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,13.0,17.0,76.5,0.0,0.0,1.0
2022-09-16,Fri,Matchweek 8,Away,W 3–2,Fulham,Nott'ham Forest,N,LW,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0,0.0
2022-10-01,Sat,Matchweek 9,Home,L 1–4,Fulham,Newcastle Utd,N,WB,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,2.0,0.0,0.0,0.3,1.0,1.0,7.0,12.0,58.3,1.0,0.0,1.0
2022-10-09,Sun,Matchweek 10,Away,L 1–3,Fulham,West Ham,Y,LW,88.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2.0,0.0,1.0,0.0,0.0,0.3,4.0,1.0,19.0,24.0,79.2,2.0,0.0,1.0
2022-10-15,Sat,Matchweek 11,Home,D 2–2,Fulham,Bournemouth,Y,LW,61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,19.0,84.2,2.0,0.0,0.0
2022-10-20,Thu,Matchweek 12,Home,W 3–0,Fulham,Aston Villa,Y,RW,84.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,1.0,0.0,0.0,0.1,0.1,0.0,3.0,1.0,14.0,19.0,73.7,1.0,0.0,5.0
2022-10-23,Sun,Matchweek 13,Away,W 3–2,Fulham,Leeds United,N,"RW,RM",28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,100.0,0.0,2.0,5.0
2022-10-29,Sat,Matchweek 14,Home,D 0–0,Fulham,Everton,Y,RW,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.1,1.0,0.0,11.0,16.0,68.8,0.0,2.0,3.0
