Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-06,Sat,Matchweek 1,Home,W 2–1,Leeds United,Wolves,N,FW,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0
2022-08-21,Sun,Matchweek 3,Home,W 3–0,Leeds United,Chelsea,N,FW,8,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0
2022-08-27,Sat,Matchweek 4,Away,L 0–1,Leeds United,Brighton,N,RW,9,0,0,0,0,1,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,5,7,71.4,1,1,2
2022-08-30,Tue,Matchweek 5,Home,D 1–1,Leeds United,Everton,N,FW,44,0,0,0,0,2,1,0,0,25,0,0,1,0.4,0.4,0.0,1,1,8,15,53.3,0,0,2
2022-09-03,Sat,Matchweek 6,Away,L 2–5,Leeds United,Brentford,Y,FW,58,0,0,0,0,3,0,0,0,23,0,0,0,0.1,0.1,0.0,1,0,12,14,85.7,0,0,0
2022-10-09,Sun,Matchweek 10,Away,L 1–2,Leeds United,Crystal Palace,N,FW,7,0,0,0,0,1,1,0,0,4,1,0,1,0.1,0.1,0.0,0,0,1,1,100.0,0,0,0
2022-10-20,Thu,Matchweek 12,Away,L 0–2,Leeds United,Leicester City,N,"LW,AM",16,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,2,0,1
2022-10-23,Sun,Matchweek 13,Home,L 2–3,Leeds United,Fulham,N,LB,6,0,1,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.1,1,1,4,4,100.0,1,0,1
2022-10-29,Sat,Matchweek 14,Away,W 2–1,Leeds United,Liverpool,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
2022-11-05,Sat,Matchweek 15,Home,W 4–3,Leeds United,Bournemouth,N,FW,10,0,0,0,0,1,0,1,0,5,2,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0
2022-11-12,Sat,Matchweek 16,Away,L 3–4,Leeds United,Tottenham,N,FW,2,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,0,0
