Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-07,Sun,Matchweek 1,Home,D 2–2,Leicester City,Brentford,Y,FW,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,11.0,72.7,0.0,0.0,1.0
2022-08-13,Sat,Matchweek 2,Away,L 2–4,Leicester City,Arsenal,Y,"FW,LW",69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,11.0,12.0,91.7,0.0,0.0,0.0
2022-08-20,Sat,Matchweek 3,Home,L 1–2,Leicester City,Southampton,Y,FW,64.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,0.0,0.0
2022-08-27,Sat,Matchweek 4,Away,L 1–2,Leicester City,Chelsea,Y,FW,90.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,1.2,1.2,0.1,2.0,1.0,5.0,8.0,62.5,1.0,1.0,2.0
2022-09-01,Thu,Matchweek 5,Home,L 0–1,Leicester City,Manchester Utd,Y,FW,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,46.7,0.0,0.0,1.0
2022-09-04,Sun,Matchweek 6,Away,L 2–5,Leicester City,Brighton,N,FW,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2022-09-17,Sat,Matchweek 8,Away,L 2–6,Leicester City,Tottenham,N,FW,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0
2022-10-03,Mon,Matchweek 9,Home,W 4–0,Leicester City,Nott'ham Forest,Y,FW,61.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,14.0,0.0,0.0,1.0,0.3,0.3,0.1,2.0,1.0,3.0,7.0,42.9,0.0,0.0,0.0
2022-10-08,Sat,Matchweek 10,Away,L 1–2,Leicester City,Bournemouth,N,FW,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,6.0,66.7,0.0,0.0,0.0
2022-10-15,Sat,Matchweek 11,Home,D 0–0,Leicester City,Crystal Palace,N,FW,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,1.0,2.0
2022-10-20,Thu,Matchweek 12,Home,W 2–0,Leicester City,Leeds United,Y,FW,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,15.0,46.7,1.0,0.0,1.0
2022-10-23,Sun,Matchweek 13,Away,W 4–0,Leicester City,Wolves,N,FW,29.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,0.5,0.5,0.1,1.0,1.0,3.0,6.0,50.0,0.0,0.0,1.0
2022-10-29,Sat,Matchweek 14,Home,L 0–1,Leicester City,Manchester City,Y,FW,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,5.0,10.0,50.0,1.0,0.0,1.0
2022-11-05,Sat,Matchweek 15,Away,W 2–0,Leicester City,Everton,N,FW,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0
2022-11-12,Sat,Matchweek 16,Away,W 2–0,Leicester City,West Ham,N,FW,22.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,3.0,4.0,75.0,0.0,1.0,1.0
