Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-07,Sun,Matchweek 1,Home,D 2–2,Leicester City,Brentford,N,FW,18,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,5,20.0,0,1,1
2022-08-13,Sat,Matchweek 2,Away,L 2–4,Leicester City,Arsenal,N,FW,28,0,0,0,0,1,0,0,0,15,1,1,1,0.1,0.1,0.0,0,0,3,6,50.0,0,1,3
2022-08-20,Sat,Matchweek 3,Home,L 1–2,Leicester City,Southampton,N,FW,26,0,0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0
2022-08-27,Sat,Matchweek 4,Away,L 1–2,Leicester City,Chelsea,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
2022-09-01,Thu,Matchweek 5,Home,L 0–1,Leicester City,Manchester Utd,N,FW,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.2,2,0,2,2,100.0,0,0,0
2022-09-04,Sun,Matchweek 6,Away,L 2–5,Leicester City,Brighton,Y,FW,90,1,1,0,0,3,2,0,0,27,2,1,1,0.4,0.4,0.8,1,1,13,17,76.5,1,1,1
2022-09-17,Sat,Matchweek 8,Away,L 2–6,Leicester City,Tottenham,Y,FW,73,0,0,0,0,3,2,1,0,30,1,0,0,0.2,0.2,0.2,3,0,16,23,69.6,2,0,0
2022-10-03,Mon,Matchweek 9,Home,W 4–0,Leicester City,Nott'ham Forest,N,FW,29,1,0,0,0,1,1,0,0,13,0,0,0,0.2,0.2,0.0,1,1,6,9,66.7,0,0,0
2022-10-08,Sat,Matchweek 10,Away,L 1–2,Leicester City,Bournemouth,Y,FW,66,1,0,0,0,2,2,0,0,18,0,0,1,0.5,0.5,0.0,1,0,7,11,63.6,1,0,0
2022-10-15,Sat,Matchweek 11,Home,D 0–0,Leicester City,Crystal Palace,Y,FW,64,0,0,0,0,1,1,0,0,24,0,0,1,0.1,0.1,0.1,1,0,11,18,61.1,0,0,2
2022-10-20,Thu,Matchweek 12,Home,W 2–0,Leicester City,Leeds United,N,FW,27,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.2,1,0,4,8,50.0,2,0,0
2022-10-23,Sun,Matchweek 13,Away,W 4–0,Leicester City,Wolves,Y,FW,61,0,0,0,0,0,0,0,0,20,2,1,1,0.0,0.0,0.0,0,0,7,12,58.3,0,0,0
2022-10-29,Sat,Matchweek 14,Home,L 0–1,Leicester City,Manchester City,N,CB,19,0,0,0,0,2,1,0,0,8,0,0,0,0.1,0.1,0.0,0,0,2,2,100.0,0,0,0
2022-11-05,Sat,Matchweek 15,Away,W 2–0,Leicester City,Everton,Y,FW,69,0,0,0,0,4,2,0,0,23,0,0,0,0.6,0.6,0.1,5,1,11,16,68.8,2,0,0
2022-11-12,Sat,Matchweek 16,Away,W 2–0,Leicester City,West Ham,Y,FW,68,0,1,0,0,1,0,0,0,15,0,0,1,0.1,0.1,0.2,2,1,9,11,81.8,1,0,0
