Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-06,Sat,Matchweek 1,Away,D 2–2,Liverpool,Fulham,N,FW,40.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.6,0.6,0.5,1.0,0.0,5.0,6.0,83.3,1.0,0.0,1.0
2022-08-15,Mon,Matchweek 2,Home,D 1–1,Liverpool,Crystal Palace,Y,FW,56.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.7,0.7,0.0,1.0,0.0,6.0,11.0,54.5,1.0,1.0,1.0
2022-09-03,Sat,Matchweek 6,Away,D 0–0,Liverpool,Everton,Y,FW,79.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,22.0,1.0,0.0,0.0,0.5,0.5,0.1,4.0,0.0,6.0,12.0,50.0,0.0,0.0,0.0
2022-10-01,Sat,Matchweek 9,Home,D 3–3,Liverpool,Brighton,N,FW,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2022-10-09,Sun,Matchweek 10,Away,L 2–3,Liverpool,Arsenal,Y,FW,90.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,19.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,7.0,11.0,63.6,0.0,0.0,0.0
2022-10-16,Sun,Matchweek 11,Home,W 1–0,Liverpool,Manchester City,N,FW,19.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.3,0.3,0.5,3.0,0.0,1.0,1.0,100.0,1.0,1.0,2.0
2022-10-19,Wed,Matchweek 12,Home,W 1–0,Liverpool,West Ham,Y,FW,56.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,29.0,0.0,0.0,1.0,0.5,0.5,0.0,2.0,0.0,12.0,14.0,85.7,0.0,0.0,0.0
2022-10-29,Sat,Matchweek 14,Home,L 1–2,Liverpool,Leeds United,Y,FW,90.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,38.0,0.0,0.0,1.0,0.3,0.3,0.4,6.0,0.0,21.0,28.0,75.0,2.0,0.0,2.0
2022-11-06,Sun,Matchweek 15,Away,W 2–1,Liverpool,Tottenham,Y,FW,86.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,47.0,1.0,2.0,1.0,0.4,0.4,0.3,4.0,1.0,26.0,34.0,76.5,0.0,1.0,3.0
2022-11-12,Sat,Matchweek 16,Home,W 3–1,Liverpool,Southampton,Y,LW,86.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,39.0,1.0,0.0,1.0,0.7,0.7,0.5,3.0,0.0,19.0,27.0,70.4,2.0,1.0,2.0
