Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-06,Sat,Matchweek 1,Away,D 2–2,Liverpool,Fulham,Y,RW,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,45.0,0.0,1.0,0.0,0.4,0.4,0.1,2.0,0.0,24.0,34.0,70.6,4.0,2.0,6.0
2022-08-15,Mon,Matchweek 2,Home,D 1–1,Liverpool,Crystal Palace,Y,"RW,FW",90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,0.3,0.3,0.8,9.0,0.0,27.0,35.0,77.1,8.0,1.0,6.0
2022-08-22,Mon,Matchweek 3,Away,L 1–2,Liverpool,Manchester Utd,Y,RW,90.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,35.0,1.0,0.0,0.0,0.3,0.3,0.3,7.0,0.0,16.0,26.0,61.5,1.0,2.0,4.0
2022-08-27,Sat,Matchweek 4,Home,W 9–0,Liverpool,Bournemouth,Y,RW,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,52.0,0.0,0.0,1.0,1.2,1.2,0.1,3.0,1.0,31.0,39.0,79.5,6.0,0.0,3.0
2022-08-31,Wed,Matchweek 5,Home,W 2–1,Liverpool,Newcastle Utd,Y,RW,90.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.2,0.2,0.4,7.0,2.0,21.0,24.0,87.5,4.0,3.0,6.0
2022-09-03,Sat,Matchweek 6,Away,D 0–0,Liverpool,Everton,Y,RW,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,37.0,2.0,0.0,0.0,0.2,0.2,0.2,4.0,0.0,18.0,28.0,64.3,3.0,1.0,2.0
2022-10-01,Sat,Matchweek 9,Home,D 3–3,Liverpool,Brighton,Y,"RW,RM",90.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,38.0,0.0,0.0,0.0,0.6,0.6,0.1,2.0,1.0,16.0,21.0,76.2,4.0,0.0,3.0
2022-10-09,Sun,Matchweek 10,Away,L 2–3,Liverpool,Arsenal,Y,RW,68.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,1.0,0.1,0.1,0.0,2.0,0.0,17.0,19.0,89.5,1.0,2.0,3.0
2022-10-16,Sun,Matchweek 11,Home,W 1–0,Liverpool,Manchester City,Y,FW,89.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,26.0,0.0,1.0,0.0,0.9,0.9,0.0,0.0,0.0,11.0,14.0,78.6,1.0,0.0,1.0
2022-10-19,Wed,Matchweek 12,Home,W 1–0,Liverpool,West Ham,Y,"RM,FW",90.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,45.0,0.0,0.0,1.0,0.4,0.4,0.0,4.0,0.0,27.0,30.0,90.0,3.0,1.0,5.0
2022-10-22,Sat,Matchweek 13,Away,L 0–1,Liverpool,Nott'ham Forest,Y,FW,90.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,17.0,0.0,0.0,0.0,0.3,0.3,0.1,0.0,0.0,5.0,7.0,71.4,0.0,0.0,0.0
2022-10-29,Sat,Matchweek 14,Home,L 1–2,Liverpool,Leeds United,Y,FW,90.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,46.0,0.0,0.0,0.0,0.8,0.8,0.2,7.0,1.0,22.0,32.0,68.8,3.0,2.0,7.0
2022-11-06,Sun,Matchweek 15,Away,W 2–1,Liverpool,Tottenham,Y,FW,89.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,56.0,1.0,0.0,1.0,0.7,0.7,0.0,0.0,0.0,32.0,39.0,82.1,2.0,0.0,2.0
2022-11-12,Sat,Matchweek 16,Home,W 3–1,Liverpool,Southampton,Y,RW,90.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,38.0,1.0,0.0,1.0,0.8,0.8,0.0,5.0,2.0,14.0,25.0,56.0,1.0,2.0,4.0
