Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-07,Sun,Matchweek 1,Away,W 2–0,Manchester City,West Ham,Y,FW,77.0,2.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,1.7,0.9,0.0,3.0,1.0,21.0,24.0,87.5,1.0,0.0,1.0
2022-08-13,Sat,Matchweek 2,Home,W 4–0,Manchester City,Bournemouth,Y,FW,73.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.1,0.1,0.5,1.0,1.0,2.0,2.0,100.0,1.0,0.0,0.0
2022-08-21,Sun,Matchweek 3,Away,D 3–3,Manchester City,Newcastle Utd,Y,FW,90.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,27.0,0.0,0.0,0.0,0.7,0.7,0.2,4.0,0.0,13.0,18.0,72.2,1.0,3.0,4.0
2022-08-27,Sat,Matchweek 4,Home,W 4–2,Manchester City,Crystal Palace,Y,FW,83.0,3.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,1.4,1.4,0.0,0.0,0.0,6.0,7.0,85.7,0.0,0.0,0.0
2022-08-31,Wed,Matchweek 5,Home,W 6–0,Manchester City,Nott'ham Forest,Y,FW,68.0,3.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,16.0,1.0,0.0,0.0,1.6,1.6,0.0,1.0,1.0,6.0,11.0,54.5,1.0,0.0,0.0
2022-09-03,Sat,Matchweek 6,Away,D 1–1,Manchester City,Aston Villa,Y,FW,90.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,24.0,0.0,0.0,1.0,0.9,0.9,0.4,3.0,0.0,14.0,19.0,73.7,0.0,0.0,0.0
2022-09-17,Sat,Matchweek 8,Away,W 3–0,Manchester City,Wolves,Y,FW,90.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,1.0,10.0,15.0,66.7,1.0,1.0,2.0
2022-10-02,Sun,Matchweek 9,Home,W 6–3,Manchester City,Manchester Utd,Y,FW,90.0,3.0,2.0,0.0,0.0,6.0,3.0,0.0,0.0,32.0,0.0,1.0,0.0,1.1,1.1,0.8,5.0,2.0,17.0,23.0,73.9,4.0,0.0,0.0
2022-10-08,Sat,Matchweek 10,Home,W 4–0,Manchester City,Southampton,Y,FW,90.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,25.0,0.0,0.0,2.0,0.7,0.7,0.3,1.0,0.0,10.0,14.0,71.4,2.0,0.0,2.0
2022-10-16,Sun,Matchweek 11,Away,L 0–1,Manchester City,Liverpool,Y,FW,90.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,33.0,0.0,0.0,1.0,0.5,0.5,0.1,3.0,0.0,13.0,17.0,76.5,2.0,0.0,1.0
2022-10-22,Sat,Matchweek 13,Home,W 3–1,Manchester City,Brighton,Y,FW,79.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,1.1,0.3,0.1,2.0,0.0,15.0,22.0,68.2,2.0,0.0,1.0
2022-11-05,Sat,Matchweek 15,Home,W 2–1,Manchester City,Fulham,N,FW,27.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,1.1,0.3,0.0,1.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0
2022-11-12,Sat,Matchweek 16,Home,L 1–2,Manchester City,Brentford,Y,FW,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.6,3.0,0.0,14.0,19.0,73.7,2.0,0.0,0.0
