Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-07,Sun,Matchweek 1,Home,L 1–2,Manchester Utd,Brighton,N,FW,38,0,0,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.0,2,0,8,9,88.9,1,0,0
2022-08-13,Sat,Matchweek 2,Away,L 0–4,Manchester Utd,Brentford,Y,FW,90,0,0,0,0,6,2,0,0,39,0,0,0,0.3,0.3,0.2,3,0,26,27,96.3,1,0,2
2022-08-22,Mon,Matchweek 3,Home,W 2–1,Manchester Utd,Liverpool,N,LW,5,0,0,0,0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,0,0
2022-08-27,Sat,Matchweek 4,Away,W 1–0,Manchester Utd,Southampton,N,FW,23,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,5,10,50.0,1,0,1
2022-09-01,Thu,Matchweek 5,Away,W 1–0,Manchester Utd,Leicester City,N,FW,23,0,0,0,0,2,0,0,0,17,0,0,0,0.2,0.2,0.1,2,0,8,13,61.5,1,0,1
2022-09-04,Sun,Matchweek 6,Home,W 3–1,Manchester Utd,Arsenal,N,FW,33,0,0,0,0,2,0,0,0,14,0,0,0,0.2,0.2,0.0,0,0,7,12,58.3,0,0,0
2022-10-02,Sun,Matchweek 9,Away,L 3–6,Manchester Utd,Manchester City,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
2022-10-09,Sun,Matchweek 10,Away,W 2–1,Manchester Utd,Everton,N,FW,62,1,0,0,0,3,2,0,0,32,1,0,0,0.4,0.4,0.1,2,0,18,23,78.3,1,2,2
2022-10-16,Sun,Matchweek 11,Home,D 0–0,Manchester Utd,Newcastle Utd,Y,FW,71,0,0,0,0,1,0,1,0,20,0,0,0,0.1,0.1,0.0,0,0,11,19,57.9,1,0,0
2022-10-19,Wed,Matchweek 12,Home,W 2–0,Manchester Utd,Tottenham,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
2022-10-30,Sun,Matchweek 14,Home,W 1–0,Manchester Utd,West Ham,Y,FW,90,0,0,0,0,6,1,0,0,40,0,0,0,0.4,0.4,0.0,0,0,22,28,78.6,1,2,3
2022-11-06,Sun,Matchweek 15,Away,L 1–3,Manchester Utd,Aston Villa,Y*,FW,90,0,0,0,0,3,1,1,0,23,1,1,0,0.2,0.2,0.0,2,0,15,18,83.3,0,0,0
