Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-07,Sun,Matchweek 1,Home,L 1–2,Manchester Utd,Brighton,Y,RW,89,0,0,0,0,0,0,0,0,40,0,0,2,0.0,0.0,0.1,6,0,28,35,80.0,4,2,3
2022-08-13,Sat,Matchweek 2,Away,L 0–4,Manchester Utd,Brentford,Y,RW,59,0,0,0,0,0,0,0,0,38,1,0,0,0.0,0.0,0.1,3,0,26,34,76.5,3,0,1
2022-08-22,Mon,Matchweek 3,Home,W 2–1,Manchester Utd,Liverpool,Y,RW,70,1,0,0,0,1,1,0,0,30,1,0,1,0.3,0.3,0.3,2,1,19,22,86.4,1,2,3
2022-08-27,Sat,Matchweek 4,Away,W 1–0,Manchester Utd,Southampton,Y,LW,67,0,0,0,0,0,0,0,0,36,1,1,0,0.0,0.0,0.0,1,1,21,26,80.8,3,2,2
2022-09-01,Thu,Matchweek 5,Away,W 1–0,Manchester Utd,Leicester City,Y,LW,67,1,0,0,0,2,1,0,0,34,0,1,0,1.1,1.1,0.0,1,0,24,29,82.8,2,1,1
2022-09-04,Sun,Matchweek 6,Home,W 3–1,Manchester Utd,Arsenal,Y,LW,66,0,0,0,0,1,1,0,0,22,0,0,2,0.1,0.1,0.0,1,1,14,17,82.4,1,0,3
2022-10-02,Sun,Matchweek 9,Away,L 3–6,Manchester Utd,Manchester City,Y,LW,69,0,0,0,0,0,0,0,0,37,0,1,0,0.0,0.0,0.1,2,0,24,31,77.4,1,0,3
2022-10-09,Sun,Matchweek 10,Away,W 2–1,Manchester Utd,Everton,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
2022-10-16,Sun,Matchweek 11,Home,D 0–0,Manchester Utd,Newcastle Utd,Y,LW,90,0,0,0,0,1,0,0,0,45,0,1,1,0.0,0.0,0.1,4,0,34,37,91.9,4,0,0
2022-10-19,Wed,Matchweek 12,Home,W 2–0,Manchester Utd,Tottenham,Y,LW,86,0,1,0,0,1,0,0,0,50,0,0,0,0.1,0.1,0.2,9,1,40,46,87.0,1,0,3
2022-10-22,Sat,Matchweek 13,Away,D 1–1,Manchester Utd,Chelsea,Y,LM,51,0,0,0,0,1,1,0,0,25,1,0,0,0.1,0.1,0.0,0,0,13,21,61.9,2,0,0
2022-10-30,Sun,Matchweek 14,Home,W 1–0,Manchester Utd,West Ham,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
