Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-07,Sun,Matchweek 1,Home,L 1–2,Manchester Utd,Brighton,Y,LW,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,32.0,1.0,1.0,1.0,0.3,0.3,0.0,1.0,0.0,17.0,21.0,81.0,1.0,0.0,2.0
2022-08-13,Sat,Matchweek 2,Away,L 0–4,Manchester Utd,Brentford,Y,LW,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,35.0,3.0,0.0,0.0,0.1,0.1,0.2,3.0,0.0,19.0,27.0,70.4,3.0,5.0,6.0
2022-08-22,Mon,Matchweek 3,Home,W 2–1,Manchester Utd,Liverpool,Y,"FW,LW",85.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,0.8,0.8,0.0,3.0,0.0,5.0,15.0,33.3,2.0,3.0,5.0
2022-08-27,Sat,Matchweek 4,Away,W 1–0,Manchester Utd,Southampton,Y,"FW,LW",90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,13.0,19.0,68.4,0.0,0.0,1.0
2022-09-01,Thu,Matchweek 5,Away,W 1–0,Manchester Utd,Leicester City,Y,"FW,LW",86.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,53.0,0.0,0.0,2.0,0.2,0.2,1.1,2.0,1.0,28.0,39.0,71.8,5.0,0.0,1.0
2022-09-04,Sun,Matchweek 6,Home,W 3–1,Manchester Utd,Arsenal,Y,"FW,LW,RW",79.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,23.0,0.0,0.0,0.0,0.5,0.5,0.3,2.0,1.0,13.0,15.0,86.7,2.0,0.0,1.0
2022-10-02,Sun,Matchweek 9,Away,L 3–6,Manchester Utd,Manchester City,Y,FW,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,8.0,62.5,1.0,1.0,1.0
2022-10-09,Sun,Matchweek 10,Away,W 2–1,Manchester Utd,Everton,Y,LW,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,0.0,0.0,2.0,0.1,0.1,0.3,1.0,0.0,34.0,43.0,79.1,3.0,2.0,4.0
2022-10-16,Sun,Matchweek 11,Home,D 0–0,Manchester Utd,Newcastle Utd,N,FW,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.3,0.3,0.1,2.0,0.0,5.0,7.0,71.4,1.0,2.0,3.0
2022-10-19,Wed,Matchweek 12,Home,W 2–0,Manchester Utd,Tottenham,Y,FW,90.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,36.0,1.0,0.0,1.0,0.5,0.5,0.0,4.0,0.0,16.0,22.0,72.7,1.0,1.0,1.0
2022-10-22,Sat,Matchweek 13,Away,D 1–1,Manchester Utd,Chelsea,Y,FW,79.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,29.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,13.0,22.0,59.1,1.0,1.0,1.0
2022-10-30,Sun,Matchweek 14,Home,W 1–0,Manchester Utd,West Ham,Y,LW,90.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,40.0,0.0,1.0,0.0,0.6,0.6,0.0,5.0,0.0,23.0,27.0,85.2,2.0,0.0,3.0
2022-11-06,Sun,Matchweek 15,Away,L 1–3,Manchester Utd,Aston Villa,Y,"RW,LW",90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,33.0,81.8,1.0,2.0,3.0
2022-11-13,Sun,Matchweek 16,Away,W 2–1,Manchester Utd,Fulham,Y,"LW,FW",90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,41.0,0.0,0.0,5.0,0.4,0.4,0.0,1.0,0.0,17.0,24.0,70.8,1.0,1.0,7.0
