Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-06,Sat,Matchweek 1,Home,W 2–0,Newcastle Utd,Nott'ham Forest,Y,FW,89.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.6,0.6,0.1,1.0,0.0,5.0,8.0,62.5,2.0,0.0,0.0
2022-08-13,Sat,Matchweek 2,Away,D 0–0,Newcastle Utd,Brighton,Y,FW,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,10.0,50.0,0.0,1.0,2.0
2022-08-21,Sun,Matchweek 3,Home,D 3–3,Newcastle Utd,Manchester City,Y,FW,69.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,18.0,0.0,1.0,0.0,0.8,0.8,0.0,0.0,0.0,9.0,13.0,69.2,0.0,0.0,0.0
2022-10-01,Sat,Matchweek 9,Away,W 4–1,Newcastle Utd,Fulham,Y,FW,65.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,1.4,1.4,0.0,0.0,0.0,3.0,5.0,60.0,1.0,0.0,0.0
2022-10-08,Sat,Matchweek 10,Home,W 5–1,Newcastle Utd,Brentford,Y,FW,83.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.4,0.4,0.3,4.0,1.0,12.0,15.0,80.0,0.0,0.0,0.0
2022-10-16,Sun,Matchweek 11,Away,D 0–0,Newcastle Utd,Manchester Utd,Y,FW,77.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,2.0,4.0,50.0,0.0,0.0,0.0
2022-10-19,Wed,Matchweek 12,Home,W 1–0,Newcastle Utd,Everton,Y,FW,86.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,21.0,0.0,0.0,0.0,0.2,0.2,0.1,3.0,0.0,10.0,14.0,71.4,2.0,0.0,0.0
2022-10-23,Sun,Matchweek 13,Away,W 2–1,Newcastle Utd,Tottenham,Y,FW,87.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,24.0,1.0,0.0,1.0,0.5,0.5,0.0,2.0,0.0,8.0,10.0,80.0,0.0,1.0,1.0
2022-10-29,Sat,Matchweek 14,Home,W 4–0,Newcastle Utd,Aston Villa,Y,FW,85.0,2.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,25.0,0.0,0.0,0.0,1.9,1.1,0.1,5.0,2.0,14.0,18.0,77.8,2.0,0.0,0.0
2022-11-06,Sun,Matchweek 15,Away,W 4–1,Newcastle Utd,Southampton,Y,FW,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,3.0,5.0,60.0,0.0,0.0,1.0
2022-11-12,Sat,Matchweek 16,Home,W 1–0,Newcastle Utd,Chelsea,N,FW,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,1.0,0.0,2.0
