Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-13,Sat,Matchweek 2,Away,D 0–0,Newcastle Utd,Brighton,N,LW,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0
2022-08-28,Sun,Matchweek 4,Away,D 1–1,Newcastle Utd,Wolves,N,RW,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,62.5,0.0,0.0,1.0
2022-08-31,Wed,Matchweek 5,Away,L 1–2,Newcastle Utd,Liverpool,N,"LW,RW",27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,1.0
2022-09-03,Sat,Matchweek 6,Home,D 0–0,Newcastle Utd,Crystal Palace,N,RW,21.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,7.0,12.0,58.3,3.0,0.0,1.0
2022-09-17,Sat,Matchweek 8,Home,D 1–1,Newcastle Utd,Bournemouth,N,"LW,RW",20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,9.0,13.0,69.2,0.0,0.0,0.0
2022-10-01,Sat,Matchweek 9,Away,W 4–1,Newcastle Utd,Fulham,Y,"LW,FW",90.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,57.0,2.0,0.0,0.0,0.1,0.1,0.1,4.0,1.0,28.0,48.0,58.3,4.0,0.0,3.0
2022-10-08,Sat,Matchweek 10,Home,W 5–1,Newcastle Utd,Brentford,Y,LW,65.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,24.0,0.0,0.0,1.0,0.2,0.2,0.1,3.0,0.0,10.0,19.0,52.6,3.0,0.0,1.0
2022-10-16,Sun,Matchweek 11,Away,D 0–0,Newcastle Utd,Manchester Utd,Y,LW,58.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,1.0,0.0,1.0,0.1,0.1,0.1,2.0,0.0,8.0,13.0,61.5,1.0,0.0,1.0
2022-10-19,Wed,Matchweek 12,Home,W 1–0,Newcastle Utd,Everton,Y,LW,71.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,0.1,1.0,0.0,9.0,14.0,64.3,0.0,0.0,0.0
2022-10-23,Sun,Matchweek 13,Away,W 2–1,Newcastle Utd,Tottenham,N,LW,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0
2022-10-29,Sat,Matchweek 14,Home,W 4–0,Newcastle Utd,Aston Villa,N,LM,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.1,0.1,0.2,2.0,0.0,5.0,11.0,45.5,0.0,0.0,1.0
2022-11-06,Sun,Matchweek 15,Away,W 4–1,Newcastle Utd,Southampton,Y,LW,63.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,1.0,11.0,16.0,68.8,2.0,0.0,2.0
2022-11-12,Sat,Matchweek 16,Home,W 1–0,Newcastle Utd,Chelsea,N,LW,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
