Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-06,Sat,Matchweek 1,Away,L 1–4,Southampton,Tottenham,Y,FW,45,0,0,0,0,1,0,0,0,13,0,0,1,0.0,0.0,0.0,0,0,10,10,100.0,0,0,0
2022-08-13,Sat,Matchweek 2,Home,D 2–2,Southampton,Leeds United,N,FW,30,0,1,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.1,1,1,8,12,66.7,2,0,0
2022-08-20,Sat,Matchweek 3,Away,W 2–1,Southampton,Leicester City,Y,LW,69,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,1,0,12,20,60.0,0,1,1
2022-08-27,Sat,Matchweek 4,Home,L 0–1,Southampton,Manchester Utd,Y,RW,76,0,0,0,0,1,1,0,0,21,0,0,0,0.1,0.1,0.2,2,0,12,15,80.0,3,1,4
2022-08-30,Tue,Matchweek 5,Home,W 2–1,Southampton,Chelsea,Y,LW,85,1,0,0,0,2,2,0,0,30,1,1,3,0.3,0.3,0.0,1,0,9,18,50.0,1,1,5
2022-09-03,Sat,Matchweek 6,Away,L 0–1,Southampton,Wolves,Y,"LW,RW,FW",82,0,0,0,0,2,0,0,0,36,0,0,1,0.1,0.1,0.0,1,0,19,27,70.4,1,1,3
2022-09-16,Fri,Matchweek 8,Away,L 0–1,Southampton,Aston Villa,Y,LW,70,0,0,0,0,0,0,0,0,32,3,0,4,0.0,0.0,0.0,0,0,11,16,68.8,3,0,4
2022-10-01,Sat,Matchweek 9,Home,L 1–2,Southampton,Everton,N,FW,31,0,0,0,0,4,2,0,0,21,1,0,0,0.3,0.3,0.1,1,0,14,14,100.0,1,0,0
2022-10-08,Sat,Matchweek 10,Away,L 0–4,Southampton,Manchester City,Y,FW,65,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.1,1,0,18,19,94.7,0,0,2
2022-10-16,Sun,Matchweek 11,Home,D 1–1,Southampton,West Ham,Y,LW,73,0,0,0,0,0,0,0,0,27,0,0,3,0.0,0.0,0.1,4,0,15,21,71.4,3,0,2
2022-10-19,Wed,Matchweek 12,Away,W 1–0,Southampton,Bournemouth,Y,FW,87,0,0,0,0,1,0,0,0,24,0,0,1,0.0,0.0,0.1,2,0,8,14,57.1,0,2,5
2022-10-23,Sun,Matchweek 13,Home,D 1–1,Southampton,Arsenal,Y,FW,72,0,0,0,0,1,0,0,0,20,3,0,0,0.0,0.0,0.0,1,0,9,11,81.8,0,0,1
2022-10-29,Sat,Matchweek 14,Away,L 0–1,Southampton,Crystal Palace,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
2022-11-06,Sun,Matchweek 15,Home,L 1–4,Southampton,Newcastle Utd,N,FW,27,0,0,0,0,1,1,0,0,14,0,1,0,0.0,0.0,0.1,2,0,9,11,81.8,0,1,1
2022-11-12,Sat,Matchweek 16,Away,L 1–3,Southampton,Liverpool,Y,FW,57,0,0,0,0,3,1,0,0,16,0,0,0,0.2,0.2,0.0,0,0,9,11,81.8,0,0,0
