Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-06,Sat,Matchweek 1,Home,W 4–1,Tottenham,Southampton,Y,FW,90,0,0,0,0,2,2,0,0,37,0,0,2,0.1,0.1,0.2,5,0,19,29,65.5,4,0,1
2022-08-14,Sun,Matchweek 2,Away,D 2–2,Tottenham,Chelsea,Y,FW,90,1,0,0,0,3,1,0,0,29,1,0,2,0.5,0.5,0.3,5,0,15,18,83.3,3,0,0
2022-08-20,Sat,Matchweek 3,Home,W 1–0,Tottenham,Wolves,Y,FW,90,1,0,0,0,4,2,1,0,30,0,0,0,0.9,0.9,0.1,4,0,18,22,81.8,3,0,1
2022-08-28,Sun,Matchweek 4,Away,W 2–0,Tottenham,Nott'ham Forest,Y,FW,90,2,0,0,1,5,3,1,0,50,0,0,2,1.4,0.6,0.2,6,0,23,33,69.7,4,1,5
2022-08-31,Wed,Matchweek 5,Away,D 1–1,Tottenham,West Ham,Y,FW,90,0,0,0,0,4,1,0,0,44,0,0,0,0.2,0.2,0.0,4,0,27,38,71.1,3,1,2
2022-09-03,Sat,Matchweek 6,Home,W 2–1,Tottenham,Fulham,Y,FW,77,1,0,0,0,3,2,0,0,33,1,0,1,1.0,1.0,0.4,3,0,19,24,79.2,6,1,4
2022-09-17,Sat,Matchweek 8,Home,W 6–2,Tottenham,Leicester City,Y,FW,90,1,1,0,0,2,1,0,0,40,0,0,0,0.5,0.5,0.3,3,1,21,31,67.7,3,2,6
2022-10-01,Sat,Matchweek 9,Away,L 1–3,Tottenham,Arsenal,Y,FW,90,1,0,1,1,2,1,0,0,21,0,0,0,0.9,0.1,0.0,1,0,11,14,78.6,2,0,1
2022-10-08,Sat,Matchweek 10,Away,W 1–0,Tottenham,Brighton,Y,FW,89,1,0,0,0,4,1,1,0,29,1,0,1,0.6,0.6,0.0,2,0,11,18,61.1,4,1,3
2022-10-15,Sat,Matchweek 11,Home,W 2–0,Tottenham,Everton,Y,FW,89,1,0,1,1,6,3,0,0,35,1,0,0,1.2,0.4,0.2,8,2,15,19,78.9,2,2,5
2022-10-19,Wed,Matchweek 12,Away,L 0–2,Tottenham,Manchester Utd,Y,FW,90,0,0,0,0,3,2,0,0,33,0,0,1,0.4,0.4,0.1,1,0,13,24,54.2,2,2,4
2022-10-23,Sun,Matchweek 13,Home,L 1–2,Tottenham,Newcastle Utd,Y,FW,90,1,0,0,0,5,2,0,0,40,0,0,0,0.6,0.6,0.4,6,0,15,24,62.5,5,1,4
2022-10-29,Sat,Matchweek 14,Away,W 3–2,Tottenham,Bournemouth,Y,FW,90,0,0,0,0,3,1,1,0,38,0,0,0,0.5,0.5,0.0,4,0,18,26,69.2,4,2,7
2022-11-06,Sun,Matchweek 15,Home,L 1–2,Tottenham,Liverpool,Y,FW,90,1,0,0,0,3,1,0,0,29,0,0,2,0.1,0.1,0.1,1,0,12,18,66.7,0,0,1
2022-11-12,Sat,Matchweek 16,Home,W 4–3,Tottenham,Leeds United,Y,FW,90,1,0,0,0,3,1,0,0,36,0,1,0,0.4,0.4,0.1,4,2,21,28,75.0,5,0,0
