Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-07,Sun,Matchweek 1,Home,L 0–2,West Ham,Manchester City,Y,"RW,RM,AM",89.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,2.0,2.0,0.2,0.2,0.0,1.0,0.0,5.0,11.0,45.5,0.0,0.0,3.0
2022-08-14,Sun,Matchweek 2,Away,L 0–1,West Ham,Nott'ham Forest,Y,RW,84.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,1.0,1.0,1.0,0.1,0.1,0.0,0.0,0.0,15.0,25.0,60.0,0.0,0.0,0.0
2022-08-21,Sun,Matchweek 3,Home,L 0–2,West Ham,Brighton,Y,RW,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,45.0,3.0,0.0,3.0,0.1,0.1,0.0,3.0,0.0,24.0,33.0,72.7,2.0,1.0,2.0
2022-08-28,Sun,Matchweek 4,Away,W 1–0,West Ham,Aston Villa,Y,"FW,RW",90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,3.0,0.0,1.0,0.3,0.3,0.0,0.0,0.0,12.0,20.0,60.0,1.0,1.0,4.0
2022-08-31,Wed,Matchweek 5,Home,D 1–1,West Ham,Tottenham,Y,RW,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,24.0,1.0,1.0,1.0,0.3,0.3,0.1,2.0,0.0,10.0,15.0,66.7,0.0,0.0,0.0
2022-09-03,Sat,Matchweek 6,Away,L 1–2,West Ham,Chelsea,Y,"FW,RM",90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,23.0,1.0,1.0,0.0,0.0,0.0,0.2,2.0,0.0,10.0,15.0,66.7,0.0,4.0,4.0
2022-09-18,Sun,Matchweek 8,Away,L 0–1,West Ham,Everton,Y,RW,90.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,52.0,2.0,3.0,0.0,0.3,0.3,0.3,4.0,0.0,27.0,42.0,64.3,5.0,0.0,2.0
2022-10-01,Sat,Matchweek 9,Home,W 2–0,West Ham,Wolves,Y,RW,90.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,40.0,2.0,1.0,3.0,0.3,0.3,0.2,8.0,1.0,15.0,25.0,60.0,2.0,0.0,0.0
2022-10-09,Sun,Matchweek 10,Home,W 3–1,West Ham,Fulham,Y,RW,90.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,40.0,1.0,0.0,1.0,1.2,0.9,0.1,4.0,1.0,19.0,27.0,70.4,2.0,0.0,1.0
2022-10-16,Sun,Matchweek 11,Away,D 1–1,West Ham,Southampton,Y,"RW,AM",90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,47.0,2.0,0.0,0.0,0.1,0.1,0.3,5.0,0.0,18.0,33.0,54.5,1.0,0.0,4.0
2022-10-19,Wed,Matchweek 12,Away,L 0–1,West Ham,Liverpool,Y,"FW,RM",90.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,36.0,2.0,0.0,2.0,0.8,0.0,0.4,2.0,0.0,21.0,25.0,84.0,1.0,0.0,3.0
2022-10-24,Mon,Matchweek 13,Home,W 2–0,West Ham,Bournemouth,Y,RW,87.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,16.0,23.0,69.6,3.0,0.0,1.0
2022-10-30,Sun,Matchweek 14,Away,L 0–1,West Ham,Manchester Utd,Y,"RW,AM",90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,2.0,0.4,0.4,0.0,0.0,0.0,15.0,26.0,57.7,1.0,0.0,4.0
2022-11-06,Sun,Matchweek 15,Home,L 1–2,West Ham,Crystal Palace,Y,RW,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,15.0,23.0,65.2,1.0,0.0,4.0
2022-11-12,Sat,Matchweek 16,Home,L 0–2,West Ham,Leicester City,Y,RW,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,45.0,1.0,0.0,4.0,0.2,0.2,0.3,3.0,0.0,22.0,33.0,66.7,3.0,0.0,1.0
