Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-07,Sun,Matchweek 1,Home,L 0–2,West Ham,Manchester City,Y,FW,56.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,2.0,4.0,50.0,1.0,0.0,1.0
2022-08-14,Sun,Matchweek 2,Away,L 0–1,West Ham,Nott'ham Forest,Y,FW,67.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,1.0,0.0,1.0,0.1,0.1,0.0,3.0,0.0,6.0,12.0,50.0,0.0,2.0,3.0
2022-08-21,Sun,Matchweek 3,Home,L 0–2,West Ham,Brighton,Y,FW,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,13.0,53.8,1.0,1.0,1.0
2022-08-28,Sun,Matchweek 4,Away,W 1–0,West Ham,Aston Villa,N,FW,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,9.0,66.7,2.0,1.0,1.0
2022-08-31,Wed,Matchweek 5,Home,D 1–1,West Ham,Tottenham,Y,FW,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.1,1.0,1.0,7.0,14.0,50.0,0.0,0.0,1.0
2022-09-03,Sat,Matchweek 6,Away,L 1–2,West Ham,Chelsea,Y,FW,73.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,17.0,2.0,0.0,1.0,0.8,0.8,0.0,1.0,0.0,3.0,7.0,42.9,0.0,0.0,1.0
2022-09-18,Sun,Matchweek 8,Away,L 0–1,West Ham,Everton,Y,FW,69.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.2,0.2,0.1,1.0,0.0,6.0,11.0,54.5,0.0,0.0,0.0
2022-10-01,Sat,Matchweek 9,Home,W 2–0,West Ham,Wolves,N,FW,25.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,7.0,12.0,58.3,0.0,0.0,1.0
2022-10-09,Sun,Matchweek 10,Home,W 3–1,West Ham,Fulham,N,FW,11.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.4,0.4,0.0,3.0,2.0,1.0,6.0,16.7,0.0,3.0,3.0
2022-10-16,Sun,Matchweek 11,Away,D 1–1,West Ham,Southampton,N,FW,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2022-10-19,Wed,Matchweek 12,Away,L 0–1,West Ham,Liverpool,N,FW,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,33.3,1.0,0.0,1.0
2022-10-24,Mon,Matchweek 13,Home,W 2–0,West Ham,Bournemouth,N,FW,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,7.0,85.7,0.0,1.0,1.0
2022-10-30,Sun,Matchweek 14,Away,L 0–1,West Ham,Manchester Utd,N,FW,34.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,6.0,8.0,75.0,0.0,0.0,1.0
2022-11-06,Sun,Matchweek 15,Home,L 1–2,West Ham,Crystal Palace,N,FW,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,42.9,0.0,0.0,2.0
