Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-06,Sat,Matchweek 1,Away,L 1–2,Wolves,Leeds United,Y,FW,84,0,1,0,0,1,1,0,0,28,0,0,0,0.0,0.0,0.7,4,1,12,17,70.6,1,3,5
2022-08-13,Sat,Matchweek 2,Home,D 0–0,Wolves,Fulham,Y,FW,57,0,0,0,0,2,1,0,0,20,2,0,1,0.1,0.1,0.0,2,0,9,11,81.8,1,0,1
2022-08-20,Sat,Matchweek 3,Away,L 0–1,Wolves,Tottenham,N,FW,10,0,0,0,0,1,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,1,0,0
2022-08-28,Sun,Matchweek 4,Home,D 1–1,Wolves,Newcastle Utd,N,LW,7,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,0,0
2022-08-31,Wed,Matchweek 5,Away,D 0–0,Wolves,Bournemouth,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
2022-09-03,Sat,Matchweek 6,Home,W 1–0,Wolves,Southampton,N,LW,9,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0
2022-09-17,Sat,Matchweek 8,Home,L 0–3,Wolves,Manchester City,N,FW,21,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,0,0
2022-10-08,Sat,Matchweek 10,Away,L 0–3,Wolves,Chelsea,N,FW,34,0,0,0,0,1,1,0,0,7,0,0,0,0.3,0.3,0.0,1,0,4,5,80.0,2,0,1
2022-10-15,Sat,Matchweek 11,Home,W 1–0,Wolves,Nott'ham Forest,N,FW,9,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,0,0
2022-10-18,Tue,Matchweek 12,Away,L 1–2,Wolves,Crystal Palace,N,FW,16,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,5,6,83.3,0,0,0
2022-10-23,Sun,Matchweek 13,Home,L 0–4,Wolves,Leicester City,N,FW,11,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,0,1
2022-10-29,Sat,Matchweek 14,Away,D 1–1,Wolves,Brentford,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
2022-11-05,Sat,Matchweek 15,Home,L 2–3,Wolves,Brighton,Y,FW,67,0,0,0,0,0,0,0,0,15,1,0,1,0.0,0.0,0.0,0,0,6,11,54.5,1,1,2
